100200,47,46,45,40,30,55,35,39,55,41,63,60,40,39,61,46,54,42,51,52,61,44,53,40,51,0
100300,40,51,56,56,50,61,55,40,43,53,48,55,39,50,53,49,41,43,53,37,46,44,34,36,52,0
100400,48,47,50,56,48,50,45,61,50,65,56,50,45,45,47,39,52,39,45,58,52,46,58,53,76,0
100500,49,64,43,48,44,44,52,58,69,61,42,44,44,32,48,38,47,46,48,58,53,47,47,40,45,0
100600,56,47,49,55,53,53,64,60,64,48,45,57,65,47,38,48,41,56,65,42,47,52,41,37,50,0
100700,55,50,51,69,40,41,56,30,37,46,47,47,46,42,35,43,55,42,32,43,32,34,60,42,42,0
100800,57,35,38,53,52,42,42,43,45,43,43,56,43,40,46,58,33,49,54,54,39,38,38,52,52,0
100900,52,59,44,38,36,47,42,39,58,40,52,49,42,51,47,52,59,41,47,50,45,34,35,46,33,0
101000,44,59,38,43,60,63,45,44,56,51,43,57,54,40,48,52,41,41,50,37,50,40,40,50,44,0
101100,52,43,53,54,37,44,44,34,43,29,42,49,43,43,47,34,55,35,48,52,36,40,53,49,35,0
101200,59,65,55,59,55,53,47,51,50,57,45,59,37,56,65,47,52,42,51,44,57,40,49,47,48,0
101300,47,54,57,54,36,54,44,53,52,41,41,45,40,69,60,69,57,44,50,53,41,41,48,56,52,0
101400,58,40,38,46,48,51,47,60,57,46,38,42,51,48,63,57,47,39,39,58,56,44,51,57,66,0
101500,53,42,55,51,45,38,45,46,36,48,31,31,50,42,38,67,54,39,55,44,55,59,54,49,64,0
101600,46,47,44,49,47,49,37,40,46,42,49,56,44,44,51,51,49,47,47,47,49,36,35,37,36,0
101700,53,40,50,48,30,43,43,48,42,45,52,50,44,48,55,29,48,37,45,53,35,40,31,47,46,0
101800,66,37,47,47,34,45,47,45,58,61,49,52,49,48,29,39,37,49,44,48,51,42,54,58,73,0
101900,56,55,45,47,47,37,52,45,51,46,50,54,49,44,42,41,43,50,63,50,47,43,47,41,48,0
102000,40,57,50,46,37,43,57,51,52,45,44,48,47,56,66,67,49,53,39,58,41,56,43,45,52,0
102100,48,43,56,46,30,41,44,48,53,37,54,49,43,42,35,51,52,59,49,42,36,42,42,64,51,0
102200,51,46,65,48,47,55,50,42,44,29,42,47,45,59,46,37,52,52,43,45,55,60,57,59,49,0
102300,51,53,35,48,46,55,55,42,40,33,31,37,45,51,36,43,64,48,40,40,47,37,52,51,42,0
102400,58,41,66,48,39,47,44,43,47,46,44,45,50,57,30,36,53,49,38,45,35,36,62,47,57,0
102500,4,2,7,4,5,4,5,7,5,4,8,3,4,7,3,1,3,5,5,1,2,3,6,3,6,0
102600,16,3,9,8,4,4,7,7,14,6,3,2,2,4,9,9,5,5,7,8,5,9,6,6,15,0
102700,7,2,9,7,8,5,7,12,8,19,12,12,3,6,6,11,7,3,4,3,8,3,6,4,6,0
102800,8,6,13,9,5,15,4,8,9,12,6,10,6,6,8,7,6,10,8,11,9,9,9,8,7,0
102900,10,18,19,17,13,11,12,19,23,23,20,19,11,15,11,16,5,11,10,6,10,12,15,4,6,0
103000,12,15,19,21,17,21,15,22,17,29,21,24,13,17,14,21,21,23,34,31,25,20,15,13,18,0
103100,21,28,23,27,25,37,26,28,21,24,28,32,27,39,26,25,19,33,29,32,30,25,27,26,24,0
103200,36,36,27,42,39,40,33,39,40,32,44,35,36,43,46,50,30,37,39,33,33,43,43,36,39,0
103300,50,63,46,41,58,50,65,65,38,48,53,32,40,48,57,46,46,44,55,36,40,52,45,43,47,0
103400,77,60,60,51,61,78,63,71,67,70,57,62,70,59,72,68,60,74,69,66,54,71,81,66,68,0
100200,36,54,46,56,54,55,42,46,53,61,52,43,50,45,53,46,55,43,56,47,58,52,58,76,49,10
100300,59,48,51,33,34,43,48,45,51,52,56,45,51,52,49,52,50,42,56,52,54,56,47,35,58,10
100400,39,50,49,43,46,52,43,44,46,55,45,60,56,54,57,40,53,50,49,51,52,40,57,48,51,10
100500,44,35,53,54,51,58,53,49,47,46,36,49,56,51,44,61,46,49,46,34,51,40,38,41,49,10
100600,58,56,54,48,60,54,56,49,43,48,33,44,50,56,59,61,38,56,49,49,43,46,64,52,42,10
100700,65,43,45,45,37,43,37,36,43,54,46,56,62,47,44,53,44,59,67,45,40,43,48,51,43,10
100800,45,46,62,61,61,39,44,52,45,47,44,45,43,47,53,39,52,34,62,42,50,40,45,48,56,10
100900,59,41,47,40,47,40,44,46,51,46,49,62,50,51,47,45,43,36,48,49,56,66,43,50,57,10
101000,49,54,38,40,55,40,49,39,38,31,45,51,41,48,52,32,33,37,28,47,55,55,43,42,54,10
101100,55,46,44,49,37,35,67,47,51,44,51,57,45,45,52,53,51,53,44,39,48,56,45,57,67,10
101200,37,55,42,40,41,43,57,58,55,51,60,54,50,39,44,60,59,61,56,56,49,45,45,47,40,10
101300,36,37,36,30,37,37,46,50,44,42,38,51,36,42,48,53,35,44,43,46,45,34,48,37,39,10
101400,30,36,45,55,49,48,61,47,51,40,49,35,41,41,51,41,52,44,41,47,39,40,47,45,49,10
101500,41,60,49,50,52,57,62,46,48,47,55,40,44,42,42,38,50,47,38,39,46,43,44,42,47,10
101600,53,41,54,43,64,47,39,37,47,48,32,38,37,62,64,37,58,39,40,42,58,48,41,58,52,10
101700,59,39,40,51,41,46,52,49,48,50,45,45,52,44,52,46,53,53,49,58,50,37,55,49,66,10
101800,54,58,57,40,54,36,47,50,47,36,36,48,47,42,43,47,60,46,49,44,50,50,47,56,52,10
101900,65,51,47,42,37,56,53,48,36,41,33,36,42,53,48,63,65,68,48,56,41,55,48,62,53,10
102000,43,58,51,52,53,38,43,48,35,44,53,30,49,46,51,60,57,59,49,48,49,42,52,60,48,10
102100,46,55,40,42,42,47,49,51,45,45,42,47,51,30,44,56,48,49,66,52,58,56,59,44,42,10
102200,54,44,51,53,66,64,37,41,64,39,54,43,52,40,44,38,53,54,43,52,51,47,47,49,54,10
102300,49,49,53,41,44,55,48,51,45,42,58,41,60,49,47,37,45,51,49,40,61,47,50,52,42,10
102400,43,45,38,45,45,42,42,35,40,35,33,40,34,38,42,46,51,47,57,39,40,50,39,39,36,10
102500,1,4,4,1,2,2,5,5,16,3,0,3,1,7,7,4,5,7,15,8,3,22,3,4,6,10
102600,4,4,2,4,4,8,5,3,3,8,11,6,5,2,4,13,7,2,14,4,2,4,7,3,3,10
102700,7,3,9,2,5,7,4,3,3,5,2,6,6,6,5,6,4,4,5,12,5,6,5,8,7,10
102800,4,5,13,6,13,9,11,10,15,11,10,3,7,6,10,11,4,5,13,21,8,8,9,3,6,10
102900,17,15,12,9,9,14,7,12,17,10,8,16,16,9,18,13,11,9,12,10,16,9,12,16,13,10
103000,11,23,17,18,16,16,14,17,12,17,22,14,23,18,11,16,14,15,20,24,16,11,18,15,17,10
103100,27,28,25,28,20,32,30,15,30,23,17,25,20,20,22,23,27,23,27,25,14,29,22,35,23,10
103200,38,28,35,40,39,35,27,40,31,36,35,32,30,43,30,30,37,42,42,41,38,37,25,44,39,10
103300,57,40,56,53,50,48,39,51,37,38,37,44,49,45,50,57,51,39,38,48,47,54,56,50,37,10
103400,65,53,75,72,68,93,60,78,68,50,64,56,70,67,72,65,74,67,75,70,83,69,74,58,67,10
100200,60,41,50,52,52,35,33,40,41,43,40,39,47,34,47,39,40,56,57,49,54,45,42,55,50,11
100300,46,45,40,53,55,48,32,44,45,41,40,34,38,58,51,49,57,36,61,46,60,50,54,51,35,11
100400,46,34,39,42,49,43,44,51,52,33,52,34,40,42,59,60,52,48,56,50,43,40,46,49,50,11
100500,39,59,67,51,48,61,53,46,55,47,37,42,36,41,48,47,49,52,50,44,55,62,43,54,42,11
100600,68,38,55,56,57,45,59,44,45,38,37,45,52,41,40,52,44,44,54,47,36,49,41,57,42,11
100700,38,55,50,42,62,38,56,50,45,42,48,38,38,51,47,46,53,52,64,60,45,37,62,34,42,11
100800,60,52,41,44,34,41,45,41,47,31,50,50,58,66,40,47,46,48,47,47,35,45,44,34,50,11
100900,42,40,49,45,60,48,46,56,73,50,45,53,47,46,47,59,56,35,53,35,51,57,51,52,49,11
101000,46,30,45,55,46,58,59,47,47,49,50,40,51,43,40,45,56,43,46,41,39,57,32,47,39,11
101100,61,52,43,44,56,43,36,58,47,45,39,38,45,55,48,48,47,51,58,49,40,43,55,64,52,11
101200,48,52,37,41,55,41,42,47,40,38,41,41,47,50,53,32,54,51,38,42,38,40,37,43,37,11
101300,45,58,53,41,45,31,49,34,42,63,55,52,44,52,50,42,41,47,44,38,42,45,41,38,37,11
101400,46,54,51,38,39,49,54,48,49,47,63,35,42,38,58,41,40,44,58,55,40,52,62,33,53,11
101500,42,44,40,47,47,61,47,42,30,36,51,35,47,31,38,39,43,52,64,46,52,57,43,65,64,11
101600,37,56,41,46,35,37,57,53,42,41,40,42,37,39,29,31,36,58,44,50,43,50,39,49,47,11
101700,60,49,68,44,33,43,56,52,57,47,47,52,33,42,42,43,26,47,51,52,40,49,53,55,41,11
101800,55,69,59,49,51,40,43,50,36,49,58,42,60,39,52,36,58,53,58,57,47,53,40,38,46,11
101900,45,49,56,59,56,39,42,57,57,52,47,46,45,54,42,50,36,32,51,45,43,47,42,44,51,11
102000,74,47,61,49,55,54,62,37,50,51,74,45,45,50,49,48,36,48,39,49,45,52,54,38,58,11
102100,46,35,64,50,47,39,51,58,57,42,49,51,36,45,42,55,52,40,40,40,38,58,41,56,42,11
102200,54,42,41,35,47,52,70,41,50,51,59,58,45,53,46,46,46,60,51,37,40,37,59,36,57,11
102300,45,53,48,36,36,32,41,46,46,56,44,42,36,37,42,48,35,44,36,48,42,53,52,58,50,11
102400,48,44,46,40,39,59,44,43,33,52,40,58,32,46,51,55,49,53,49,42,58,56,67,41,45,11
102500,1,5,2,15,3,1,5,2,3,5,6,5,4,10,15,4,17,3,1,4,5,5,3,11,17,11
102600,4,4,3,3,1,2,5,4,2,6,2,1,4,5,7,9,19,7,9,11,5,4,3,3,4,11
102700,7,6,5,5,3,4,7,7,5,7,10,9,6,7,7,13,7,8,7,7,17,5,8,3,6,11
102800,7,19,21,11,7,6,6,5,7,8,6,16,9,8,8,15,14,9,18,7,5,10,11,8,13,11
