N,generation
7310,-0.027359781121751026
7310,-0.02722298221614227
7310,-0.027086183310533515
7310,-0.02694938440492476
7310,-0.026812585499316005
7310,-0.02667578659370725
7310,-0.026538987688098495
7310,-0.02640218878248974
7310,-0.026265389876880985
7310,-0.02612859097127223
7310,-0.025991792065663474
7310,-0.02585499316005472
7310,-0.025718194254445964
7310,-0.02558139534883721
7310,-0.025444596443228454
7310,-0.0253077975376197
7310,-0.025170998632010944
7310,-0.02503419972640219
7310,-0.024897400820793433
7310,-0.024760601915184678
7310,-0.024623803009575923
7310,-0.024487004103967168
7310,-0.024350205198358413
7310,-0.024213406292749658
7310,-0.024076607387140903
7310,-0.023939808481532147
7310,-0.023803009575923392
7310,-0.023666210670314637
7310,-0.023529411764705882
7310,-0.023392612859097127
7310,-0.023255813953488372
7310,-0.023119015047879617
7310,-0.02298221614227086
7310,-0.022845417236662106
7310,-0.02270861833105335
7310,-0.022571819425444596
7310,-0.02243502051983584
7310,-0.022298221614227086
7310,-0.02216142270861833
7310,-0.022024623803009576
7310,-0.02188782489740082
7310,-0.021751025991792065
7310,-0.02161422708618331
7310,-0.021477428180574555
7310,-0.0213406292749658
7310,-0.021203830369357045
7310,-0.02106703146374829
7310,-0.020930232558139535
7310,-0.02079343365253078
7310,-0.020656634746922024
7310,-0.02051983584131327
7310,-0.020383036935704514
7310,-0.02024623803009576
7310,-0.020109439124487004
7310,-0.01997264021887825
7310,-0.019835841313269494
7310,-0.01969904240766074
7310,-0.019562243502051983
7310,-0.019425444596443228
7310,-0.019288645690834473
7310,-0.019151846785225718
7310,-0.019015047879616963
7310,-0.018878248974008208
7310,-0.018741450068399453
7310,-0.018604651162790697
7310,-0.018467852257181942
7310,-0.018331053351573187
7310,-0.018194254445964432
7310,-0.018057455540355677
7310,-0.017920656634746922
7310,-0.017783857729138167
7310,-0.01764705882352941
7310,-0.017510259917920656
7310,-0.0173734610123119
7310,-0.017236662106703146
7310,-0.01709986320109439
7310,-0.016963064295485636
7310,-0.01682626538987688
7310,-0.016689466484268126
7310,-0.01655266757865937
7310,-0.016415868673050615
7310,-0.01627906976744186
7310,-0.016142270861833105
7310,-0.01600547195622435
7310,-0.015868673050615595
7310,-0.01573187414500684
7310,-0.015595075239398085
7310,-0.01545827633378933
7310,-0.015321477428180574
7310,-0.01518467852257182
7310,-0.015047879616963064
7310,-0.014911080711354309
7310,-0.014774281805745554
7310,-0.014637482900136799
7310,-0.014500683994528044
7310,-0.014363885088919288
7310,-0.014227086183310533
7310,-0.014090287277701778
7310,-0.013953488372093023
7310,-0.013816689466484268
7310,-0.013679890560875513
7310,-0.013543091655266758
7310,-0.013406292749658003
7310,-0.013269493844049247
7310,-0.013132694938440492
7310,-0.012995896032831737
7310,-0.012859097127222982
7310,-0.012722298221614227
7310,-0.012585499316005472
7310,-0.012448700410396717
7310,-0.012311901504787962
7310,-0.012175102599179206
7310,-0.012038303693570451
7310,-0.011901504787961696
7310,-0.011764705882352941
7310,-0.011627906976744186
7310,-0.01149110807113543
7310,-0.011354309165526676
7310,-0.01121751025991792
7310,-0.011080711354309165
7310,-0.01094391244870041
7310,-0.010807113543091655
7310,-0.0106703146374829
7310,-0.010533515731874145
7310,-0.01039671682626539
7310,-0.010259917920656635
7310,-0.01012311901504788
7310,-0.009986320109439124
7310,-0.00984952120383037
7310,-0.009712722298221614
7310,-0.009575923392612859
7310,-0.009439124487004104
7310,-0.009302325581395349
7310,-0.009165526675786594
7310,-0.009028727770177838
7310,-0.008891928864569083
7310,-0.008755129958960328
7310,-0.008618331053351573
7310,-0.008481532147742818
7310,-0.008344733242134063
7310,-0.008207934336525308
7310,-0.008071135430916553
7310,-0.007934336525307797
7310,-0.007797537619699042
7310,-0.007660738714090287
7310,-0.007523939808481532
7310,-0.007387140902872777
7310,-0.007250341997264022
7310,-0.007113543091655267
7310,-0.0069767441860465115
7310,-0.006839945280437756
