Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,generation
20000,20000,20000,20000,20000,,,,,-0.0037
20000,20000,20000,20000,20000,,,,,-0.00365
20000,20000,20000,20000,20000,,,,,-0.0036
20000,20000,20000,20000,20000,,,,,-0.00355
20000,20000,20000,20000,20000,,,,,-0.0035
20000,20000,20000,20000,20000,,,,,-0.00345
20000,20000,20000,20000,20000,,,,,-0.0034
20000,20000,20000,20000,20000,,,,,-0.00335
20000,20000,20000,20000,20000,,,,,-0.0033
20000,20000,20000,20000,20000,,,,,-0.00325
20000,20000,20000,20000,20000,,,,,-0.0032
20000,20000,20000,20000,20000,,,,,-0.00315
20000,20000,20000,20000,20000,,,,,-0.0031
20000,20000,20000,20000,20000,,,,,-0.00305
20000,20000,20000,20000,20000,,,,,-0.003
20000,20000,20000,20000,20000,,,,,-0.00295
20000,20000,20000,20000,20000,,,,,-0.0029
20000,20000,20000,20000,20000,,,,,-0.00285
20000,20000,20000,20000,20000,,,,,-0.0028
20000,20000,20000,20000,20000,,,,,-0.00275
20000,20000,20000,20000,20000,,,,,-0.0027
20000,20000,20000,20000,20000,,,,,-0.00265
20000,20000,20000,20000,20000,,,,,-0.0026
20000,20000,20000,20000,20000,,,,,-0.00255
20000,20000,20000,20000,20000,,,,,-0.0025
20000,20000,20000,20000,20000,,,,,-0.00245
20000,20000,20000,20000,20000,,,,,-0.0024
20000,20000,20000,20000,20000,,,,,-0.00235
20000,20000,20000,20000,20000,,,,,-0.0023
20000,20000,20000,20000,20000,,,,,-0.00225
20000,20000,20000,20000,20000,,,,,-0.0022
20000,20000,20000,20000,20000,,,,,-0.00215
20000,20000,20000,20000,20000,,,,,-0.0021
20000,20000,20000,20000,20000,,,,,-0.00205
20000,20000,20000,20000,20000,,,,,-0.002
20000,20000,20000,20000,20000,,,,,-0.00195
20000,20000,20000,20000,20000,,,,,-0.0019
20000,20000,20000,20000,20000,,,,,-0.00185
20000,20000,20000,20000,20000,,,,,-0.0018
20000,20000,20000,20000,20000,,,,,-0.00175
20000,20000,20000,20000,20000,,,,,-0.0017
20000,20000,20000,20000,20000,,,,,-0.00165
20000,20000,20000,20000,20000,,,,,-0.0016
20000,20000,20000,20000,20000,,,,,-0.00155
20000,20000,20000,20000,20000,,,,,-0.0015
20000,20000,20000,20000,20000,,,,,-0.00145
20000,20000,20000,20000,20000,,,,,-0.0014
20000,20000,20000,20000,20000,,,,,-0.00135
20000,20000,20000,20000,20000,,,,,-0.0013
20000,20000,20000,20000,20000,,,,,-0.00125
20000,20000,20000,20000,20000,,,,,-0.0012
20000,20000,20000,20000,20000,,,,,-0.00115
20000,20000,20000,20000,20000,,,,,-0.0011
20000,20000,20000,20000,20000,,,,,-0.00105
20000,20000,20000,20000,20000,,,,,-0.001
20000,20000,20000,20000,20000,,,,,-0.00095
20000,20000,20000,20000,20000,,,,,-0.0009
20000,20000,20000,20000,20000,,,,,-0.00085
20000,20000,20000,20000,20000,,,,,-0.0008
20000,20000,20000,20000,20000,,,,,-0.00075
20000,20000,20000,20000,20000,,,,,-0.0007
20000,20000,20000,20000,20000,,,,,-0.00065
20000,20000,20000,20000,20000,,,,,-0.0006
20000,20000,20000,20000,20000,,,,,-0.00055
20000,20000,20000,20000,20000,,,,,-0.0005
20000,20000,20000,20000,20000,,,,,-0.00045
20000,20000,20000,20000,20000,,,,,-0.0004
20000,20000,20000,20000,20000,,,,,-0.00035
20000,20000,20000,20000,20000,,,,,-0.0003
20000,20000,20000,20000,20000,,,,,-0.00025
20000,20000,20000,20000,20000,,,,,-0.0002
20000,20000,20000,20000,20000,,,,,-0.00015
20000,20000,20000,20000,20000,,,,,-0.0001
20000,20000,20000,20000,20000,,,,,-5e-05
20000,2000,400,2000,400,,,,,0.0
20000,2000,400,2000,400,,,,,5e-05
20000,2001,400,2000,400,,,,,0.0001
20000,2001,400,2000,400,,,,,0.00015
20000,2002,400,2000,400,,,,,0.0002
20000,2002,401,2000,400,,,,,0.00025
20000,2003,401,2000,400,,,,,0.0003
20000,2003,401,2000,400,,,,,0.00035
20000,2004,401,2000,400,,,,,0.0004
20000,2004,401,2000,400,,,,,0.00045
20000,2005,401,2000,400,,,,,0.0005
20000,2005,401,2000,400,,,,,0.00055
20000,2006,401,2000,400,,,,,0.0006
20000,2006,402,2000,400,,,,,0.00065
20000,2006,402,2000,400,,,,,0.0007
20000,2007,402,2000,400,,,,,0.00075
20000,2007,402,2000,400,,,,,0.0008
20000,2008,402,2000,400,,,,,0.00085
20000,2008,402,2000,400,,,,,0.0009
20000,2009,402,2000,400,,,,,0.00095
20000,2009,402,2000,400,,,,,0.001
20000,2010,403,2000,400,,,,,0.00105
20000,2010,403,2000,400,,,,,0.0011
20000,2011,403,2000,400,,,,,0.00115
20000,2011,403,2000,400,,,,,0.0012
20000,2012,403,2000,400,,,,,0.00125
20000,2012,403,2000,400,,,,,0.0013
20000,2012,403,2000,400,,,,,0.00135
20000,2013,403,2000,400,,,,,0.0014
20000,2013,404,2000,400,,,,,0.00145
20000,2014,404,2000,400,,,,,0.0015
20000,2014,404,2000,400,,,,,0.00155
20000,2015,404,2000,400,,,,,0.0016
20000,2015,404,2000,400,,,,,0.00165
20000,2016,404,2000,400,,,,,0.0017
20000,2016,404,2000,400,,,,,0.00175
20000,2017,404,2000,400,,,,,0.0018
20000,2017,405,2000,400,,,,,0.00185
20000,2018,405,2000,400,,,,,0.0019
20000,2018,405,2000,400,,,,,0.00195
20000,2019,405,2000,400,,,,,0.002
20000,2019,405,2000,400,,,,,0.00205
20000,2019,405,2000,400,,,,,0.0021
20000,2020,405,2000,400,,,,,0.00215
20000,2020,406,2000,400,,,,,0.0022
